,ts_code,symbol,name,area,industry,list_date
67,000166.SZ,000166,申万宏源,新疆,证券,20150126
235,000686.SZ,000686,东北证券,吉林,证券,19970227
254,000712.SZ,000712,锦龙股份,广东,证券,19970415
268,000728.SZ,000728,国元证券,安徽,证券,19970616
278,000750.SZ,000750,国海证券,广西,证券,19970709
293,000776.SZ,000776,广发证券,广东,证券,19970611
299,000783.SZ,000783,长江证券,湖北,证券,19970731
949,002500.SZ,002500,山西证券,山西,证券,20101115
1116,002670.SZ,002670,国盛金控,广东,证券,20120416
1119,002673.SZ,002673,西部证券,陕西,证券,20120503
1178,002736.SZ,002736,国信证券,深圳,证券,20141229
1234,002797.SZ,002797,第一创业,深圳,证券,20160511
1353,002926.SZ,002926,华西证券,四川,证券,20180205
1365,002939.SZ,002939,长城证券,深圳,证券,20181026
1370,002945.SZ,002945,华林证券,西藏,证券,20190117
1474,300059.SZ,300059,东方财富,上海,证券,20100319
2288,600030.SH,600030,中信证券,深圳,证券,20030106
2308,600061.SH,600061,国投资本,上海,证券,19970519
2337,600095.SH,600095,哈高科,黑龙江,证券,19970708
2350,600109.SH,600109,国金证券,四川,证券,19970807
2389,600155.SH,600155,华创阳安,北京,证券,19980918
2571,600369.SH,600369,西南证券,重庆,证券,20010109
2769,600621.SH,600621,华鑫股份,上海,证券,19921202
2962,600837.SH,600837,海通证券,上海,证券,19940224
2985,600864.SH,600864,哈投股份,黑龙江,证券,19940809
3022,600909.SH,600909,华安证券,安徽,证券,20161206
3024,600918.SH,600918,中泰证券,山东,证券,20200603
3033,600958.SH,600958,东方证券,上海,证券,20150323
3069,600999.SH,600999,招商证券,深圳,证券,20091117
3091,601066.SH,601066,中信建投,北京,证券,20180620
3098,601099.SH,601099,太平洋,云南,证券,20071228
3103,601108.SH,601108,财通证券,浙江,证券,20171024
3117,601162.SH,601162,天风证券,湖北,证券,20181019
3126,601198.SH,601198,东兴证券,北京,证券,20150226
3130,601211.SH,601211,国泰君安,上海,证券,20150626
3141,601236.SH,601236,红塔证券,云南,证券,20190705
3159,601375.SH,601375,中原证券,河南,证券,20170103
3160,601377.SH,601377,兴业证券,福建,证券,20101013
3165,601456.SH,601456,国联证券,江苏,证券,20200731
3171,601555.SH,601555,东吴证券,江苏,证券,20111212
3200,601688.SH,601688,华泰证券,江苏,证券,20100226
3202,601696.SH,601696,中银证券,上海,证券,20200226
3212,601788.SH,601788,光大证券,上海,证券,20090818
3233,601878.SH,601878,浙商证券,浙江,证券,20170626
3235,601881.SH,601881,中国银河,北京,证券,20170123
3243,601901.SH,601901,方正证券,湖南,证券,20110810
3263,601990.SH,601990,南京证券,江苏,证券,20180613
